round,name,option,response
5,good,"""I can imagine you’ve been under a lot of stress — moving so many times must be taxing. What about going to school feels exhausting to you?""","""Good! This response provides <span class=""bold"">reflection</span> followed by an <span class=""bold"">open-ended question</span>.  These listening skills show you are willing to understand what she’s telling you."""
5,bad2,"""Why don’t you try some echinacea?""","""Here you are <span class=""bold"">advising without permission</span> — see if you can demonstrate you are listening to her by reflecting or evoking her perspective with an open-ended question."""
6,erica,"""I don’t know, I guess... it isn’t really about class... like, class is fine... I just don’t want to be there.""",
6,bad1,"""How many times did you miss class this week?""","""You have asked a <span class=""bold"">closed question</span> seeking facts or information. Try an open question to encourage Erica  to share more about her concerns."""
6,good,"""It sounds like something that’s happening outside of class is affecting you when you’re in class. Tell me more about that.""","""This was a good moment to provide a <span class=""bold"">complex reflection</span> to what Erica said, which demonstrates that you are listening. You then used an <span class=""bold"">open-ended question</span> to encourage her to share more about what is keeping her from attending class."""
6,bad2,"""No one wants to be there, but they all manage to get to class.""","""You have chosen to <span class=""bold"">confront</span> Erica by suggesting she is the only one that struggles with going to school; this may make her feel judged and defensive. You may be able to evoke more of Erica’s perspective with an open-ended question and a complex reflection."""
7,erica,"""I feel like I don’t fit in at school. Everyone else has their friends, and I’m all by myself watching dance videos on YouTube.""",
7,bad1,"""How do you expect to make friends if you never go to class?""","""Here you are <span class=""bold"">confronting</span> Erica in a way that condescends and highlights her failures. Try a different response that shows empathy for her situation."""
7,bad2,"""You should join a club or get involved with sports; that will help you meet people.""","""This response includes <span class=""bold"">direction and advice without permission</span>. Try a different response that reflects what she is feeling."""
7,good,"""You’ve had to start over at new schools a lot; it must be exhausting having to always be the new kid.""","""Nice <span class=""bold"">complex reflection</span> of her experience! Erica may feel more comfortable opening-up to you when you show her you are listening with reflections."""
8,erica,"""Yeah. That’s actually what’s been bothering me… It probably sounds stupid, but there was this whole incident with Dance Club…""",
8,bad1,"""You’re too smart a student to get this upset about dance.""","""This response is <span class=""bold"">confrontational</span> and doesn’t demonstrate empathy with the fact that dance is important to her. Try a different response."""
8,bad2,"""Don’t let dance be the reason you flunk senior year.""","""This response <span class=""bold"">warns</span> Erica about negative consequences of her actions. Try a different response with an open question and/or complex reflection to find out more about what’s influencing her absences."""
8,good,"""I see. Do you mind if I ask what happened?""","""Good <span class=""bold"">open-ended question</span>; it will evoke her perspective on the incident."""
9,erica,"""Well, I don’t usually talk about it… but I really want to be a dancer when I grow up. But I don’t know if it’s worth dealing with some of the drama with the other kids there.""",
9,good,"""You have a lot of passion, but you aren’t sure if it’s worth it.""","""Good! You’ve <span class=""bold"">affirmed</span> Erica’s drive to dance and <span class=""bold"">reflected</span> her ambivalence about moving forward."""
9,bad1,"""Dance can’t be your #1 thing, though. Even if you stick with being a dancer, you need to do what anyone with any ambition does and focus on your grades.""","""You have concerns about the practicality of Erica’s goals and are offering <span class=""bold"">advice without permission</span>. This statement dismisses how important dance is to Erica. Try offering an affirmation and a reflection to continue discussing what motivates her."""
9,bad2,"""It may feel easier not to go to school, but you’re shooting yourself in the foot.""","""This response <span class=""bold"">warns</span> Erica of possible repercussions casts judgment on Erica’s behavior rather than invites her to share more about it. Try another response that affirms her strengths and shows you are listening to her."""
10,erica,"""Well, they’re all a really tight clique, and I never really felt like I could “break in” with them because I’m the new kid.""",
10,bad1,"""Next time, just jump in and join their conversation.""","""This response gives Erica <span class=""bold"">advice without asking for permission</span>. Try a different response that demonstrates understanding of Erica’s situation."""
10,good,"""You’ve been feeling excluded from the group.""","""Nice <span class=""bold"">simple reflection</span> of her situation. This response demonstrates you're listening to her concerns."""
10,bad2,"""Did you do dance in your other schools?""","""This response is a <span class=""bold"">closed question</span>. This moves the conversation away from Erica’s primary concerns. Try a different response."""
11,erica,"""Yeah, but it doesn’t matter because I had to drop Dance Club after the attendance thing and now none of them are talking to me in class, probably because they’re all mad.""",
11,bad1,"""Don’t you think they’re just disappointed that they won’t be able to dance with you?""","""This response includes a <span class=""bold"">closed question</span> and gives <span class=""bold"">advice without permission</span> by telling Erica what to think. Try a reflection that encourages Erica to consider her perspective."""
11,good,"""You think they are angry with you.""","""This is a great <span class=""bold"">simple reflection</span>. Let’s see how Erica responds."""
11,bad2,"""You could just ask them to let you back in.""","""Here you are <span class=""bold"">advising without permission</span> – Try a different response that acknowledges her experience."""
12,erica,"""Not really. I don’t know. Maybe I should go talk to them.""",
12,good,"""What do you think might happen if you decide to talk with them?""","""Nice job. This question is <span class=""bold"">affirming</span> but also demonstrates that you are a helper and have something to offer."""
12,bad1,"""Unfortunately, this is what happens when you don’t stay committed to your obligations.""","""This response <span class=""bold"">confronts</span> Erica and may will lead her to feel judged and shameful. Try a different response that emphasizes that she is the one in control of her life."""
12,bad2,"""Maybe you should worry about getting your attendance back up before you think about getting back into dance again.""","""Here you are <span class=""bold"">advising without permission</span>, which may discourage Erica. Try a different response that supports her autonomy in making decisions about her life."""
13,erica,"""I’m not sure… I’m just really nervous and I don’t know what I would say to them… can you help me figure that out?""","""It sounds like Erica’s ready to make a change and start planning her next steps – and your responses helped her feel able and empowered to do so! <br><br>By tying the attendance issue to her desire to improve things with her friends, you provided a more effective motivation for her to attend class. Her friend problems are a primary source of pain for her. Helping her see the connection between her friend challenges and her attendance helps to address that source of pain and the need for improved attendance far more effectively than fear of getting expelled or poor grade performance. <br><br>Hopefully this exercise has helped you feel more familiar with the basic listening skills including reflections, affirmations, open-ended questions and emphasizing control — being able to identify these skills is an important step towards integrating them into your practice!"""
